"timestamp","sentiment","position","notes","text"
"6/29/2020 11:56:54 AM",-2,"","","Please do the work to keep our black and brown residence safe from abuse of power but in the same note please keep all residents safe. We need the police force for to fight violent crimes that we have seen increased in our city. Sadly we’ve had an a tick in sexual crimes gang violence etc. Please do the work with the police chief who I fully support and respect to make this city’s please Department into an organization that we as a residence of Minneapolis deserve. Please don’t abolish or defund listen to our mayor and our police chief their ideas of going after the police union and etc From my perspective seems the right way forward. Thanks for giving us residents a chance to be heard."
"6/29/2020 11:57:19 AM",-1,"","","How would we remain safe? Who do we call if there is a break in? A car accident?"
"6/29/2020 12:07:35 PM",-7,"","","I am a proponent of reorganizing police response and providing other community resources. I am against the City Council having final say on these actions. The mayor is more qualified than City Council members and their responsibilities should reflect this. City Council should not be creating the Department of Community Safety and Violence Prevention. There are other more qualified groups than City Council. City Council is not qualified in this space. They have ignored policing issues for years and now are rushing to create change that is not well thought out. I would like to know more specifically how they plan to use their budget before approving a plan. I suggest the Charter Commission reject this proposal as it is a first draft. A first draft should not be going to the ballots. This is chaos and a disaster waiting to happen."
"6/29/2020 12:08:17 PM",-27,"","","This is total insanity!! You should be ashamed of yourselves for even considering this. Don't make policy on an isolated incident (Floyd). Mpls has been under democratic control for 40 years and if there's ""systemic racism"" you need to OWN IT!! Crime has sky rocketed since this proposal, most victims are African American. Police brutality towards blacks is not substantiated in the data and is a false narrative. In 2019, 9 unarmed black men were killed by police, 7500 blacks were murdered, mostly by other blacks. You are jeopardizing the safety of Minneapolis residents, particularly black residents. The response to the looting and rioting was a national disgrace!! You allowed or city to be destroyed by criminals and thugs. Shame on you!"
"6/29/2020 12:12:30 PM",0,"","","If the police are defunded, I will move. Getting my house all ready so I can list immediately. I have lived in Mpls for 45 years and never considered moving before. The city is so much less safe than it was a month ago because of the disrespect of the law and Leo. I cannot imagine what it will become. MPD has an awesome chief and many (most) cops are great. We also need to get homeless encampments away from playgrounds. 2 (reported) sexual assaults at Powderhorn already plus lots of dirty needles where children are trying to play."
"6/29/2020 1:15:11 PM",2,"","","I do NOT want the city charter changed on the whim of the city council members. I believe as citizens that we have the right to have a working police department. I don't believe that we should be going forward with the council's ""no plan"" plan. I am wholeheartedly against this. I support a change in the city charter to give the mayor more power and less from the council itself. I live in the 4th Ward and we really, really need to have a police department — this is real life, not all rainbows and unicorns. I also want to be able to read and analyze their plan before having to vote on a possible change. This plan would have to be fully flushed out with many contingencies to address unintended consequences, etc. I don't feel that this city council is actually capable of doing the serious work that they were elected to do."
"6/29/2020 1:42:12 PM",6,"","","I would like to encourage the Charter Commission to adopt the proposed charter amendment regarding public safety as-is or with minimal amendments such that the Council can accept it and it can be put on the November ballot without delay. As can be seen by the unanimous council vote, this is a high priority item that deserves to be put before the citizens for a vote without delay. The charter amendment is necessary for the Council to make the desperately need changes to the MPD. While the language may seem extreme, the practical effect will be to give the Council latitude to take a variety of steps, and does not oblige it to any single path. Minneapolis has a chance to lead in this area after lagging for so long. I believe many of those arguing against a Charter amendment are doing so from a position of relative comfort (people who have minimal actual interaction with the MPD, or who desire to see the status quo maintained) or who would let the absence of a specific, highly detailed plan for reformation of the police act as an obstacle. However those are ultimately issues that can and should be decided by the voters, and I urge you to allow them that decision. Thank you for your time and consideration."
"6/29/2020 1:49:10 PM",-23,"","","It is very concerning to me that City Council is pushing this proposed amendment through without additional public comment on this matter. Why the rush? Is the council attempting to exploit the citizens of Minneapolis while we are in a state stress and grief and fear? This appears to be an action an intention to exploit vulnerable individuals. It concerns me that a group of 12 people are attempting to make a decision that effects every single resident of this City without public input. There does not appear to be any plan in place. What is this going to cost the citizens? How is this going to impact businesses? Will they leave? Will new businesses want to open? How is this going to impact tourism? Will insurance rates go up? Who is going to benefit and who is going to hurt? Maybe most importantly, do we know how this will impact crime in our city? Will it decrease or increase? I am afraid it will increase. Crime prey on opportunities. A city with no police force will be ripe with opportunities, especially organized crime. It is completely irresponsible to move this forward in any way, shape or form without extensive research and planning. This action must go before the voters before the charter is amended. The escalation in violent crime over the past month is terrifying. The city needs to protect it's citizens. Removing the police department is not the answer."
"6/29/2020 2:11:06 PM",1,"","","To Whom It May Concern: I DO NOT support the amending the City Charter to defund the Minneapolis Police Department. The council has no plan and this is a power grab . The council has failed our city miserably and should not be allowed to continue to do so by allowing this pass. My husband and I grew up in Minneapolis, we are currently raising our own 2 children here . I don't think you understand the amount of concern and stress this has caused my husband or other first responders in his same situation. He see's everything first hand and is so concerned of this move to defund the police department that he wants to move our family out of the city. This situation has consumed him and haunts him. We now live in a city (that we love and are paying tons of taxes) where the city council supports lawless behavior, encourages ""no call"" zones and tells us, the tax payers and city employees that calling the police is a privilege. ............ Last I checked it's our right and we deserve and need to have a solid police department. I wish our city leaders were able to work together and were supportive of each other, instead they want to work against each other. The council is a disappointment and has been incredibly reckless with recent actions and statements. We fully support reform within the police department. Let's have faith in our leaders. The city council clearly has no idea what actually goes on and are not in law enforcement or first responders. Thank you"
"6/29/2020 2:24:14 PM",6,"","","I am opposed to amending the Charter to abolish the police department and replace it with an entity that currently has no further definition, scope, accountability, or purpose. Public Safety is too important to the citizens of Minneapolis to be taken lightly in the course of a political storm. I do support a reorganization of the MPD, with support from the Council, and even folding the police and fire departments into a ""Department of Public Safety"" with a director the police and fire chiefs would report to would be a better idea than what is proposed, with a leader having zero public safety experience."
